#TYPE VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","PowerState","Notes","Guest","NumCpu","CoresPerSocket","MemoryMB","MemoryGB","VMHostId","VMHost","VApp","FolderId","Folder","ResourcePoolId","ResourcePool","HARestartPriority","HAIsolationResponse","DrsAutomationLevel","VMSwapfilePolicy","VMResourceConfiguration","Version","PersistentId","GuestId","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","ExtensionData","CustomFields","Id","Uid","Client"
"tsp-sca","PoweredOn","","tsp-sca:Microsoft Windows Server 2012 (64-bit)","2","1","8192","8","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v10","502c8a87-e720-4148-f075-0c1fc4dbe562","windows8Server64Guest","68.112517988309264183044433594","68.112518526613712310791015625","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-21914","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-21914/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"CC-SM","PoweredOn","Avaya Aura Session Manager V6.3 for VMware","CC-SM:Red Hat Enterprise Linux 6 (64-bit)","8","1","10240","10","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/102400","v10","502c7856-5202-ea41-9ae7-4a7b437616ce","rhel6_64Guest","155.13899957668036222457885742","165.13900010846555233001708984","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-6606","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-6606/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"EPOServer12","PoweredOn","","EPOServer12:Microsoft Windows Server 2012 (64-bit)","4","1","8192","8","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/61440","v10","502c3c49-7bb8-496d-b932-382ebbcff0e3","windows8Server64Guest","88.13121971022337675094604492","88.13122025690972805023193359","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-21655","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-21655/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"tfserver2015","PoweredOn","","tfserver2015:Microsoft Windows Server 2012 (64-bit)","2","1","8192","8","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","502c5852-4e65-63ba-6ca2-ede7fb33e457","windows8Server64Guest","89.95850170217454433441162109","89.95850225072354078292846679","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-10466","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-10466/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"CC-IC73man","PoweredOn","","CC-IC73man:Microsoft Windows 7 (64-bit)","2","1","2048","2","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v52","Discovered virtual machine","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","503a8c90-2758-ce91-fa90-ea8c0150ff4d","windows7_64Guest","44.730150938965380191802978516","44.730151480995118618011474610","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-128","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-128/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"BIB-VCENTAR-01","PoweredOn","VMware vCenter Server Appliance

Version 5.5 of VC running on SLES 11","BIB-VCENTAR-01:SUSE Linux Enterprise 11 (64-bit)","2","1","8192","8","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v52","Discovered virtual machine","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v10","52b7148d-06f9-5db7-92cd-58e6a01f3346","sles11_64Guest","215.32454189378768205642700195","283.13020711857825517654418945","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-136","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-136/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"spsnlb1","PoweredOn","novi share point","spsnlb1:Microsoft Windows Server 2012 (64-bit)","4","1","16384","16","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v52","Discovered virtual machine","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/163840","v10","502c5072-85b9-6e42-9c46-fc4d5a3037f7","windows8Server64Guest","181.12679445091634988784790039","181.12679498922079801559448242","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-8438","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-8438/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"ACS1","PoweredOn","","ACS1:Microsoft Windows Server 2008 (32-bit)","1","1","2048","2","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v10","502c16c1-424f-23e7-92a1-93856f239649","winLonghornGuest","28.308612939901649951934814453","28.308614025823771953582763672","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-6550","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-6550/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"Nagios","PoweredOn","","Nagios:CentOS 4/5/6 (32-bit)","1","1","1024","1","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v52","Discovered virtual machine","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/10240","v10","500a90e8-df6c-2f75-6533-8d3656988820","rhel5Guest","13.113228461705148220062255859","13.113228996284306049346923828","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-133","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-133/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"Web-phonex","PoweredOn","","Web-phonex:Microsoft Windows Server 2012 (64-bit)","2","1","4096","4","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v52","Discovered virtual machine","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/40960","v10","503a5757-a5f4-4df5-35ec-60c9aef67233","windows8Server64Guest","104.12252076528966426849365234","104.12252130918204784393310546","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-153","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-153/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"DC-BG-02","PoweredOn","","DC-BG-02:Microsoft Windows Server 2012 (64-bit)","2","2","4096","4","HostSystem-host-15817","bib-esx-01.deltabank.co.yu",,"Folder-group-v52","Discovered virtual machine","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","503aa21f-d3d1-727c-23d5-d7792969b111","windows8Server64Guest","46.199953956529498100280761719","46.199954494833946228027343750","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-174","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-174/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"Dns-Dmz1","PoweredOn","","Dns-Dmz1:CentOS 4/5/6/7 (64-bit)","1","1","512","0.5","HostSystem-host-15835","bib-esx-02.deltabank.co.yu",,"Folder-group-v16516","DMZ","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/5120","v10","503afe1e-f9a6-8316-c9a8-eb0a27eb740c","centos64Guest","8.109736894257366657257080078","8.609737432561814785003662109","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-80","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-80/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"JUNIPER-FS","PoweredOn","","JUNIPER-FS:Microsoft Windows Server 2012 (64-bit)","2","2","2048","2","HostSystem-host-15835","bib-esx-02.deltabank.co.yu",,"Folder-group-v16516","DMZ","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v10","502cc6f0-28c3-aad5-4071-e314b4706273","windows8Server64Guest","100.11421074997633695602416992","102.11421183962374925613403320","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-6080","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-6080/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"AEXPROPRINT","PoweredOn","","AEXPROPRINT:Microsoft Windows Server 2003 Standard (32-bit)","2","1","2048","2","HostSystem-host-15835","bib-esx-02.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","503a43e0-b213-0ffc-56e0-dd58d3c03f6f","winNetStandardGuest","27.293172098696231842041015625","29.293172664009034633636474609","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-8580","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-8580/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"MWG-DR","PoweredOn","","MWG-DR:Other 3.x Linux (64-bit)","2","2","16384","16","HostSystem-host-15835","bib-esx-02.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/163840","v10","502c5646-beb4-1beb-87d8-a7a12cc0716f","centos64Guest","266.12063764594495296478271484","266.12063818797469139099121093","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-11759","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-11759/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"ADFSNLB2","PoweredOn","","ADFSNLB2:Microsoft Windows Server 2012 (64-bit)","2","1","4096","4","HostSystem-host-15835","bib-esx-02.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v10","502c5f8e-60fb-b4ea-cf84-16c7544e5c0d","windows8Server64Guest","40.112122951075434684753417969","44.112123489379882812500000000","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-12027","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-12027/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"NSVPX1-ESX","PoweredOn","","NSVPX1-ESX:Oracle Solaris 10 (64-bit)","2","1","2048","2","HostSystem-host-15835","bib-esx-02.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/20480","v10","502c749e-25e2-678c-0e95-f827e0c62d2b","solaris10_64Guest","22.112027580849826335906982422","22.112028128467500209808349610","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-12529","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-12529/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"Dns-Dmz2","PoweredOn","Sekudarni DMS server za servere u DMZ Beograd","Dns-Dmz2:CentOS 4/5/6/7 (64-bit)","1","1","512","0.5","HostSystem-host-15835","bib-esx-02.deltabank.co.yu",,"Folder-group-v16516","DMZ","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/5120","v10","503a4c55-1c5a-c532-e96d-e6d8f160b512","centos64Guest","8.113719588145613670349121094","8.613720126450061798095703125","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-67","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-67/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"temp","PoweredOn","","temp:","1","1","4096","4","HostSystem-host-15835","bib-esx-02.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/40960","v8","502cc489-d137-9f4e-a526-cc279a9339da","windows8Server64Guest","40.106454862281680107116699219","44.106455295346677303314208985","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-23545","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-23545/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"ACS_PIX","PoweredOff","","ACS_PIX:","1","1","2048","2","HostSystem-host-15835","bib-esx-02.deltabank.co.yu",,"Folder-group-v22","vm","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/20480","v10","502cd576-4018-12a4-c4c1-9a41fa33661d","winLonghornGuest","23.888875599019229412078857422","26.098620171658694744110107422","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-6495","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-6495/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"MAIL-IN-02","PoweredOn","Novi MAIL-IN-02 server; 8.8.2017.","MAIL-IN-02:CentOS 4/5/6/7 (64-bit)","4","4","4096","4","HostSystem-host-15835","bib-esx-02.deltabank.co.yu",,"Folder-group-v16516","DMZ","ResourcePool-resgroup-47","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/40960","v10","502cd37f-e79b-990f-e2e9-175e6d76990a","centos64Guest","16.110999406315386295318603516","20.110999948345124721527099610","System.String[]","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-22341","/VIServer=deltabank\admin_kaleksandar@bib-vcentar-01:443/VirtualMachine=VirtualMachine-vm-22341/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
